commodity,mom_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_end_risk_rate,hist_duration_reliability,survival_sample_reliability
FG,UP,NO_RISK,10,142,76,0.5352112676056338,0.46478873239436624,20,20,0.5,MEDIUM,HIGH
FG,UP,NO_RISK,20,142,96,0.676056338028169,0.323943661971831,20,20,0.5,MEDIUM,HIGH
FG,DOWN,NO_RISK,1,81,13,0.16049382716049382,0.8395061728395061,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,NO_RISK,2,81,22,0.2716049382716049,0.7283950617283951,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,NO_RISK,3,81,31,0.38271604938271603,0.617283950617284,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,NO_RISK,5,81,49,0.6049382716049383,0.3950617283950617,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,NO_RISK,10,81,70,0.8641975308641975,0.13580246913580252,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,NO_RISK,20,81,80,0.9876543209876543,0.012345679012345734,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,RISK,1,65,6,0.09230769230769231,0.9076923076923077,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,RISK,2,65,13,0.2,0.8,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,RISK,3,65,18,0.27692307692307694,0.7230769230769231,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,RISK,5,65,24,0.36923076923076925,0.6307692307692307,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,RISK,10,65,36,0.5538461538461539,0.4461538461538461,19,19,0.47368421052631576,LOW,HIGH
FG,DOWN,RISK,20,65,50,0.7692307692307693,0.23076923076923073,19,19,0.47368421052631576,LOW,HIGH
LH,UP,RISK,1,23,3,0.13043478260869565,0.8695652173913043,24,24,0.25,MEDIUM,MEDIUM
LH,UP,RISK,2,23,5,0.21739130434782608,0.782608695652174,24,24,0.25,MEDIUM,MEDIUM
LH,UP,RISK,3,23,7,0.30434782608695654,0.6956521739130435,24,24,0.25,MEDIUM,MEDIUM
LH,UP,RISK,5,23,11,0.4782608695652174,0.5217391304347826,24,24,0.25,MEDIUM,MEDIUM
LH,UP,RISK,10,23,17,0.7391304347826086,0.26086956521739135,24,24,0.25,MEDIUM,MEDIUM
LH,UP,RISK,20,23,23,1.0,0.0,24,24,0.25,MEDIUM,MEDIUM
LH,DOWN,RISK,1,124,5,0.04032258064516129,0.9596774193548387,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,RISK,2,124,10,0.08064516129032258,0.9193548387096774,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,RISK,3,124,16,0.12903225806451613,0.8709677419354839,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,RISK,5,124,25,0.20161290322580644,0.7983870967741935,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,RISK,10,124,47,0.3790322580645161,0.6209677419354839,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,RISK,20,124,89,0.717741935483871,0.282258064516129,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,NO_RISK,1,235,28,0.11914893617021277,0.8808510638297873,33,33,0.30303030303030304,MEDIUM,HIGH
