symbol,family,spec_name,rep,nobs,bandwidth_p,status,convergence_flag,M_robust,pvalue,decision,reject_5pct,mc_family_status
AG,EGARCH,08_EGARCH11_t,1,2537,21.00362278239279,ok,0,0.7730734390904546,0.21973945964310937,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,2,2537,21.00362278239279,ok,0,-0.17935972886406165,0.5711723748563846,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,3,2537,21.00362278239279,ok,0,-0.35141735363186644,0.6373623673699629,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,4,2537,21.00362278239279,ok,0,-1.232368986222441,0.8910943596819494,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,5,2537,21.00362278239279,ok,0,-0.6040413924342243,0.7270919385461366,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,6,2537,21.00362278239279,ok,0,0.11783755586545873,0.4530981857803539,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,7,2537,21.00362278239279,ok,0,0.20184375595717335,0.4200194365888733,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,8,2537,21.00362278239279,ok,0,0.10804889407648399,0.4569784536695387,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,9,2537,21.00362278239279,ok,0,0.16996800739765103,0.43251764845874063,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,10,2537,21.00362278239279,ok,0,-0.6712487605268835,0.7489689646964481,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,11,2537,21.00362278239279,ok,0,-0.027299742652019537,0.5108896689364459,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,12,2537,21.00362278239279,ok,0,0.05100918913422342,0.479659099106014,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,13,2537,21.00362278239279,ok,0,0.3101827414361308,0.378210997036312,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,14,2537,21.00362278239279,ok,0,-0.4653360538554351,0.6791545901853421,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,15,2537,21.00362278239279,ok,0,-0.4196016355578677,0.6626117533214434,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,16,2537,21.00362278239279,ok,0,0.08958623391329436,0.46430801208079,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,17,2537,21.00362278239279,ok,0,-0.304402052417701,0.6195891978313288,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,18,2537,21.00362278239279,ok,0,-0.4868574890331706,0.6868203366833578,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,19,2537,21.00362278239279,ok,0,-0.01943001477744811,0.5077509667025837,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,20,2537,21.00362278239279,ok,0,0.26411388021373394,0.39584608433654145,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,21,2537,21.00362278239279,ok,0,-0.28907473204459794,0.6137379052860241,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,22,2537,21.00362278239279,ok,0,0.12708458056114733,0.4494367277169248,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,23,2537,21.00362278239279,ok,0,-0.41977754018972985,0.6626760130914391,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,24,2537,21.00362278239279,ok,0,-0.058765916099919144,0.5234307217323981,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,25,2537,21.00362278239279,ok,0,-0.018191102686874117,0.5072567997545907,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,26,2537,21.00362278239279,ok,0,-0.07634168632165926,0.5304263691487999,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,27,2537,21.00362278239279,ok,0,0.010770088854437204,0.4957034392555727,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,28,2537,21.00362278239279,ok,0,-0.08248563284802776,0.532869728636693,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,29,2537,21.00362278239279,ok,0,0.5309061132690979,0.297741920630055,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,30,2537,21.00362278239279,ok,0,-0.07508259424991444,0.5299255017468689,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,31,2537,21.00362278239279,ok,0,0.06344173514823488,0.4747073771622847,FAIL_TO_REJECT,False,representative_fit
